customer_id,first_category,last_category
CUST0001,Electronics,Clothing
CUST0001,Electronics,Clothing
CUST0001,Electronics,Clothing
CUST0002,Books,Electronics
CUST0002,Books,Electronics
CUST0003,Home,Clothing
CUST0003,Home,Clothing
CUST0004,Home,Home
CUST0004,Home,Home
CUST0004,Home,Home
CUST0004,Home,Home
CUST0004,Home,Home
CUST0004,Home,Home
CUST0004,Home,Home
CUST0004,Home,Home
CUST0004,Home,Home
CUST0004,Home,Home
CUST0005,Books,Electronics
CUST0005,Books,Electronics
CUST0005,Books,Electronics
CUST0005,Books,Electronics
CUST0005,Books,Electronics
CUST0005,Books,Electronics
CUST0005,Books,Electronics
CUST0005,Books,Electronics
CUST0005,Books,Electronics
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0006,Books,Home
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0007,Clothing,Electronics
CUST0008,Books,Home
CUST0008,Books,Home
CUST0008,Books,Home
CUST0008,Books,Home
CUST0008,Books,Home
CUST0008,Books,Home
CUST0008,Books,Home
CUST0008,Books,Home
CUST0008,Books,Home
CUST0008,Books,Home
CUST0008,Books,Home
CUST0008,Books,Home
CUST0008,Books,Home
CUST0008,Books,Home
CUST0009,Home,Electronics
CUST0009,Home,Electronics
CUST0009,Home,Electronics
CUST0009,Home,Electronics
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0010,Electronics,Home
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0011,Home,Books
CUST0013,Electronics,Home
CUST0013,Electronics,Home
CUST0016,Books,Books
CUST0017,Home,Electronics
CUST0017,Home,Electronics
CUST0017,Home,Electronics
CUST0017,Home,Electronics
CUST0017,Home,Electronics
CUST0017,Home,Electronics
CUST0017,Home,Electronics
CUST0017,Home,Electronics
CUST0017,Home,Electronics
CUST0017,Home,Electronics
CUST0017,Home,Electronics
CUST0019,Electronics,Home
CUST0019,Electronics,Home
CUST0019,Electronics,Home
CUST0019,Electronics,Home
CUST0019,Electronics,Home
CUST0019,Electronics,Home
CUST0019,Electronics,Home
CUST0019,Electronics,Home
CUST0019,Electronics,Home
CUST0020,Books,Electronics
CUST0020,Books,Electronics
CUST0020,Books,Electronics
CUST0021,Books,Electronics
CUST0021,Books,Electronics
CUST0021,Books,Electronics
CUST0021,Books,Electronics
CUST0021,Books,Electronics
CUST0022,Books,Home
CUST0022,Books,Home
CUST0022,Books,Home
CUST0023,Books,Clothing
CUST0023,Books,Clothing
CUST0023,Books,Clothing
CUST0023,Books,Clothing
CUST0023,Books,Clothing
CUST0023,Books,Clothing
CUST0023,Books,Clothing
CUST0023,Books,Clothing
CUST0023,Books,Clothing
CUST0023,Books,Clothing
CUST0023,Books,Clothing
CUST0024,Clothing,Home
CUST0024,Clothing,Home
CUST0024,Clothing,Home
CUST0024,Clothing,Home
CUST0024,Clothing,Home
CUST0024,Clothing,Home
CUST0024,Clothing,Home
CUST0024,Clothing,Home
CUST0024,Clothing,Home
CUST0024,Clothing,Home
CUST0024,Clothing,Home
CUST0025,Home,Books
CUST0025,Home,Books
CUST0025,Home,Books
CUST0025,Home,Books
CUST0025,Home,Books
CUST0027,Home,Clothing
CUST0027,Home,Clothing
CUST0027,Home,Clothing
CUST0027,Home,Clothing
CUST0027,Home,Clothing
CUST0027,Home,Clothing
CUST0027,Home,Clothing
CUST0028,Electronics,Clothing
CUST0028,Electronics,Clothing
CUST0028,Electronics,Clothing
CUST0028,Electronics,Clothing
CUST0029,Books,Home
CUST0029,Books,Home
CUST0029,Books,Home
CUST0029,Books,Home
CUST0029,Books,Home
CUST0030,Books,Electronics
CUST0030,Books,Electronics
CUST0030,Books,Electronics
CUST0030,Books,Electronics
CUST0030,Books,Electronics
CUST0030,Books,Electronics
CUST0031,Books,Books
CUST0031,Books,Books
CUST0031,Books,Books
CUST0031,Books,Books
CUST0031,Books,Books
CUST0031,Books,Books
CUST0031,Books,Books
CUST0031,Books,Books
CUST0031,Books,Books
CUST0031,Books,Books
CUST0031,Books,Books
CUST0031,Books,Books
CUST0031,Books,Books
CUST0031,Books,Books
CUST0032,Home,Clothing
CUST0032,Home,Clothing
CUST0032,Home,Clothing
CUST0032,Home,Clothing
CUST0032,Home,Clothing
CUST0032,Home,Clothing
CUST0032,Home,Clothing
CUST0032,Home,Clothing
CUST0032,Home,Clothing
CUST0032,Home,Clothing
CUST0032,Home,Clothing
CUST0032,Home,Clothing
CUST0032,Home,Clothing
CUST0033,Home,Books
