customer_id,total_value,quartile,quartile_label
CUST0122,1186168.3,1,Platinum
CUST0495,1051438.14,1,Platinum
CUST0006,966420.3,1,Platinum
CUST0161,873465.19,1,Platinum
CUST0258,860709.19,1,Platinum
CUST0432,835565.82,1,Platinum
CUST0185,830128.7,1,Platinum
CUST0376,809794.68,1,Platinum
CUST0119,793481.64,1,Platinum
CUST0168,786352.71,1,Platinum
CUST0114,764057.86,1,Platinum
CUST0476,730197.35,1,Platinum
CUST0118,705667.4,1,Platinum
CUST0401,700063.15,1,Platinum
CUST0228,628582.55,1,Platinum
CUST0004,600052.9,1,Platinum
CUST0263,579986.42,1,Platinum
CUST0253,567549.97,1,Platinum
CUST0099,565273.82,1,Platinum
CUST0169,563263.05,1,Platinum
CUST0143,561576.51,1,Platinum
CUST0385,561093.07,1,Platinum
CUST0420,559317.51,1,Platinum
CUST0435,555880.29,1,Platinum
CUST0151,543714.71,1,Platinum
CUST0043,540348.62,1,Platinum
CUST0011,525249.57,1,Platinum
CUST0428,524170.02,1,Platinum
CUST0170,521045.39,1,Platinum
CUST0287,516655.92,1,Platinum
CUST0163,515917.16,1,Platinum
CUST0246,514003.35,1,Platinum
CUST0364,508765.46,1,Platinum
CUST0332,508018.84,1,Platinum
CUST0024,504391.94,1,Platinum
CUST0470,503349.44,1,Platinum
CUST0283,502468.84,1,Platinum
CUST0429,500676.89,1,Platinum
CUST0172,499489.38,1,Platinum
CUST0410,497762.79,1,Platinum
CUST0086,496992.82,1,Platinum
CUST0286,492458.55,1,Platinum
CUST0254,482216.82,1,Platinum
CUST0042,479928.59,1,Platinum
CUST0335,470132.62,1,Platinum
CUST0406,468261.59,1,Platinum
CUST0093,466495.36,1,Platinum
CUST0219,462348.81,1,Platinum
CUST0416,457842.79,1,Platinum
CUST0126,457503.23,1,Platinum
CUST0322,452988.81,1,Platinum
CUST0292,451563.26,1,Platinum
CUST0477,447316.55,1,Platinum
CUST0010,446736.88,1,Platinum
CUST0499,446472.52,1,Platinum
CUST0239,444537.98,1,Platinum
CUST0096,444015.42,1,Platinum
CUST0147,442797.15,1,Platinum
CUST0104,441015.87,1,Platinum
CUST0478,435736.37,1,Platinum
CUST0101,433727.8,1,Platinum
CUST0193,429241.08,1,Platinum
CUST0007,429240.06,1,Platinum
CUST0230,428786.84,1,Platinum
CUST0124,427576.02,1,Platinum
CUST0464,420546.36,1,Platinum
CUST0041,420420.39,1,Platinum
CUST0353,413488.7,1,Platinum
CUST0358,411324.81,1,Platinum
CUST0485,410948.54,1,Platinum
CUST0487,409274.04,1,Platinum
CUST0345,404409.71,1,Platinum
CUST0496,404140.34,1,Platinum
CUST0465,403591.1,1,Platinum
CUST0325,402800.1,1,Platinum
CUST0276,400840.31,1,Platinum
CUST0154,397820.53,1,Platinum
CUST0360,390061.91,1,Platinum
CUST0272,384383.15,1,Platinum
CUST0209,381778.66,1,Platinum
CUST0061,374395.26,1,Platinum
CUST0116,373090.35,1,Platinum
CUST0201,369411.41,1,Platinum
CUST0159,368926.65,1,Platinum
CUST0078,366668.15,1,Platinum
CUST0417,365245.04,1,Platinum
CUST0181,364897.54,1,Platinum
CUST0386,364723.18,1,Platinum
CUST0194,364699.14,1,Platinum
CUST0210,353016.83,1,Platinum
CUST0383,352276.35,1,Platinum
CUST0031,350194.43,1,Platinum
CUST0265,348763.1,1,Platinum
CUST0304,347482.27,1,Platinum
CUST0424,341474.26,1,Platinum
CUST0059,340307.5,1,Platinum
CUST0321,339966.82,1,Platinum
CUST0102,339623.51,1,Platinum
CUST0005,339079.58,1,Platinum
CUST0261,336687.93,1,Platinum
CUST0050,334797.99,1,Platinum
CUST0453,333575.9,1,Platinum
CUST0057,333142.88,1,Platinum
CUST0297,332855.24,1,Platinum
CUST0344,332802.46,1,Platinum
CUST0009,332472.2,2,Gold
CUST0056,325796.4,2,Gold
CUST0268,325675.84,2,Gold
CUST0032,322689.76,2,Gold
CUST0475,321847.64,2,Gold
CUST0451,320895.35,2,Gold
CUST0310,320028.56,2,Gold
CUST0144,319706.15,2,Gold
CUST0090,318997.86,2,Gold
CUST0064,317168.68,2,Gold
CUST0187,315154.3,2,Gold
CUST0382,314828.6,2,Gold
CUST0293,313822.84,2,Gold
CUST0319,310154.62,2,Gold
CUST0461,309791.27,2,Gold
CUST0278,309645.85,2,Gold
CUST0370,308873.68,2,Gold
CUST0060,308248.95,2,Gold
CUST0080,307817.95,2,Gold
CUST0391,306564.72,2,Gold
CUST0399,306139.49,2,Gold
CUST0434,304525.27,2,Gold
